product_name,short_description,longer_description,product_details,product_id
"8"" Widespread Bathroom Faucet, Chrome","Metal lever handles, WaterSense-rated at 1.2 gpm","8"" Widespread Bathroom Faucet, Chrome is a key fixture for kitchens or bathrooms. Metal lever handles, WaterSense-rated at 1.2 gpm Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","8"" Widespread Bathroom Faucet, Chrome
Metal lever handles, WaterSense-rated at 1.2 gpm
8"" Widespread Bathroom Faucet, Chrome is a key fixture for kitchens or bathrooms. Metal lever handles, WaterSense-rated at 1.2 gpm Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",85d594ba-e58f-48c3-ba4a-19b917b2ff6d
"36"" Frameless Glass Shower Door",Clear tempered glass with reversible chrome hinges,"36"" Frameless Glass Shower Door is a key fixture for kitchens or bathrooms. Clear tempered glass with reversible chrome hinges Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","36"" Frameless Glass Shower Door
Clear tempered glass with reversible chrome hinges
36"" Frameless Glass Shower Door is a key fixture for kitchens or bathrooms. Clear tempered glass with reversible chrome hinges Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",1679eb70-d8f8-4fd5-ba8d-44cb78e98bd5
Pressure-Balanced Shower Valve,Maintains outlet temperature despite pressure fluctuations,"Pressure-Balanced Shower Valve is designed to regulate or stop the flow of liquids or gases. Maintains outlet temperature despite pressure fluctuations Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.","Pressure-Balanced Shower Valve
Maintains outlet temperature despite pressure fluctuations
Pressure-Balanced Shower Valve is designed to regulate or stop the flow of liquids or gases. Maintains outlet temperature despite pressure fluctuations Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.",3b840ba0-a620-4b8c-a564-16d90b34190f
"2.5 gpm Rain Showerhead, 8""",Full-spray brass head with rubber nozzles for easy cleaning,"2.5 gpm Rain Showerhead, 8"" is a key fixture for kitchens or bathrooms. Full-spray brass head with rubber nozzles for easy cleaning Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","2.5 gpm Rain Showerhead, 8""
Full-spray brass head with rubber nozzles for easy cleaning
2.5 gpm Rain Showerhead, 8"" is a key fixture for kitchens or bathrooms. Full-spray brass head with rubber nozzles for easy cleaning Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",ccb9e644-bf60-4c19-be7b-1b66fa89e86a
40-Gallons Natural Gas Water Heater,"Atmospheric vent, 40 k BTU, 6-year tank warranty","40-Gallons Natural Gas Water Heater offers dependable water or space heating. Atmospheric vent, 40 k BTU, 6-year tank warranty It balances energy efficiency with consistent performance, making it a trusted choice for modern households.","40-Gallons Natural Gas Water Heater
Atmospheric vent, 40 k BTU, 6-year tank warranty
40-Gallons Natural Gas Water Heater offers dependable water or space heating. Atmospheric vent, 40 k BTU, 6-year tank warranty It balances energy efficiency with consistent performance, making it a trusted choice for modern households.",7b4ddf01-885a-4a3c-9485-ee7908432827
50-Gallons Electric Heat-Pump Water Heater,ENERGY STAR-rated hybrid with Wi-Fi diagnostics,"50-Gallons Electric Heat-Pump Water Heater offers dependable water or space heating. ENERGY STAR-rated hybrid with Wi-Fi diagnostics It balances energy efficiency with consistent performance, making it a trusted choice for modern households.","50-Gallons Electric Heat-Pump Water Heater
ENERGY STAR-rated hybrid with Wi-Fi diagnostics
50-Gallons Electric Heat-Pump Water Heater offers dependable water or space heating. ENERGY STAR-rated hybrid with Wi-Fi diagnostics It balances energy efficiency with consistent performance, making it a trusted choice for modern households.",fde5b5a4-1144-4495-ba07-7cd3aaf61165
3-Ton 16-SEER Split Heat Pump,"R-410A refrigerant, scroll compressor, outdoor condenser","3-Ton 16-SEER Split Heat Pump offers dependable water or space heating. R-410A refrigerant, scroll compressor, outdoor condenser It balances energy efficiency with consistent performance, making it a trusted choice for modern households.","3-Ton 16-SEER Split Heat Pump
R-410A refrigerant, scroll compressor, outdoor condenser
3-Ton 16-SEER Split Heat Pump offers dependable water or space heating. R-410A refrigerant, scroll compressor, outdoor condenser It balances energy efficiency with consistent performance, making it a trusted choice for modern households.",359091c4-d7fb-4f54-97ba-27f0089019fe
"14"" x 20"" Pleated Air Filter (MERV 11)",High-capacity filter for residential HVAC returns,"14"" x 20"" Pleated Air Filter (MERV 11) improves water quality by removing impurities. High-capacity filter for residential HVAC returns Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.","14"" x 20"" Pleated Air Filter (MERV 11)
High-capacity filter for residential HVAC returns
14"" x 20"" Pleated Air Filter (MERV 11) improves water quality by removing impurities. High-capacity filter for residential HVAC returns Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.",34166bfd-ea5f-49ac-aa98-c383a8b37cb8
Smart Wi-Fi Thermostat,"Learning algorithm, geofencing, and Alexa/Google compatibility","Smart Wi-Fi Thermostat is a trusted product in the plumbing and HVAC trade. Learning algorithm, geofencing, and Alexa/Google compatibility It offers proven reliability, making it a staple for contractors and facility managers.","Smart Wi-Fi Thermostat
Learning algorithm, geofencing, and Alexa/Google compatibility
Smart Wi-Fi Thermostat is a trusted product in the plumbing and HVAC trade. Learning algorithm, geofencing, and Alexa/Google compatibility It offers proven reliability, making it a staple for contractors and facility managers.",b469994e-e35b-4a71-b956-bfa5fa26e52c
"4"" Round Backdraft Damper",Spring-loaded galvanized damper for exhaust fans and HRVs,"4"" Round Backdraft Damper enhances HVAC performance by improving airflow control or energy efficiency. Spring-loaded galvanized damper for exhaust fans and HRVs Designed for compatibility with standard systems, it reduces energy loss and noise.","4"" Round Backdraft Damper
Spring-loaded galvanized damper for exhaust fans and HRVs
4"" Round Backdraft Damper enhances HVAC performance by improving airflow control or energy efficiency. Spring-loaded galvanized damper for exhaust fans and HRVs Designed for compatibility with standard systems, it reduces energy loss and noise.",c6c9d12d-c826-4067-93d8-6472c8a25360
"14"" Insulated Flexible Duct",R-6 fiberglass-lined duct for supply or return air,"14"" Insulated Flexible Duct enhances HVAC performance by improving airflow control or energy efficiency. R-6 fiberglass-lined duct for supply or return air Designed for compatibility with standard systems, it reduces energy loss and noise.","14"" Insulated Flexible Duct
R-6 fiberglass-lined duct for supply or return air
14"" Insulated Flexible Duct enhances HVAC performance by improving airflow control or energy efficiency. R-6 fiberglass-lined duct for supply or return air Designed for compatibility with standard systems, it reduces energy loss and noise.",372c188c-f332-4406-b2aa-d6daa8df26b1
"½"" Black Steel Pipe, 21' Length","Schedule 40, UL-listed for natural gas piping","½"" Black Steel Pipe, 21' Length provides a reliable solution for plumbing and mechanical systems. Schedule 40, UL-listed for natural gas piping It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","½"" Black Steel Pipe, 21' Length
Schedule 40, UL-listed for natural gas piping
½"" Black Steel Pipe, 21' Length provides a reliable solution for plumbing and mechanical systems. Schedule 40, UL-listed for natural gas piping It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",e299d622-62ff-4d12-8516-8bc7f23984be
"1"" 90° Malleable Iron Elbow","Threaded fitting for steam, air, or oil lines","1"" 90° Malleable Iron Elbow is a trusted product in the plumbing and HVAC trade. Threaded fitting for steam, air, or oil lines It offers proven reliability, making it a staple for contractors and facility managers.","1"" 90° Malleable Iron Elbow
Threaded fitting for steam, air, or oil lines
1"" 90° Malleable Iron Elbow is a trusted product in the plumbing and HVAC trade. Threaded fitting for steam, air, or oil lines It offers proven reliability, making it a staple for contractors and facility managers.",98398bb6-a157-4894-97c1-67beb3a23dbf
"250-psi Brass Pressure Gauge, 2""",Bottom-mount gauge for hydronic or air service,"250-psi Brass Pressure Gauge, 2"" is a trusted product in the plumbing and HVAC trade. Bottom-mount gauge for hydronic or air service It offers proven reliability, making it a staple for contractors and facility managers.","250-psi Brass Pressure Gauge, 2""
Bottom-mount gauge for hydronic or air service
250-psi Brass Pressure Gauge, 2"" is a trusted product in the plumbing and HVAC trade. Bottom-mount gauge for hydronic or air service It offers proven reliability, making it a staple for contractors and facility managers.",e5b80b99-13c7-427b-95d6-81c07913e651
"¾"" Lead-Free Brass PRV","Pressure-reducing valve, factory-set at 50 psi","¾"" Lead-Free Brass PRV is a trusted product in the plumbing and HVAC trade. Pressure-reducing valve, factory-set at 50 psi It offers proven reliability, making it a staple for contractors and facility managers.","¾"" Lead-Free Brass PRV
Pressure-reducing valve, factory-set at 50 psi
¾"" Lead-Free Brass PRV is a trusted product in the plumbing and HVAC trade. Pressure-reducing valve, factory-set at 50 psi It offers proven reliability, making it a staple for contractors and facility managers.",0b3ea02d-072e-4b80-8df5-a12351c9594f
"½"" Solder Copper Tee",Dezincification-resistant tee for potable supply branches,"½"" Solder Copper Tee is a trusted product in the plumbing and HVAC trade. Dezincification-resistant tee for potable supply branches It offers proven reliability, making it a staple for contractors and facility managers.","½"" Solder Copper Tee
Dezincification-resistant tee for potable supply branches
½"" Solder Copper Tee is a trusted product in the plumbing and HVAC trade. Dezincification-resistant tee for potable supply branches It offers proven reliability, making it a staple for contractors and facility managers.",5be1cdfa-f100-4980-a350-df3f2129548f
"500-ft Fish Tape, Steel",Pulling wire through conduit runs up to 150 m,"500-ft Fish Tape, Steel is a trusted product in the plumbing and HVAC trade. Pulling wire through conduit runs up to 150 m It offers proven reliability, making it a staple for contractors and facility managers.","500-ft Fish Tape, Steel
Pulling wire through conduit runs up to 150 m
500-ft Fish Tape, Steel is a trusted product in the plumbing and HVAC trade. Pulling wire through conduit runs up to 150 m It offers proven reliability, making it a staple for contractors and facility managers.",8cc291bf-1bb4-4306-bf45-eedae50674be
"12/2 NM-B Romex Cable, 250 ft",Non-metallic sheathed copper cable for 20-A circuits,"12/2 NM-B Romex Cable, 250 ft supports safe and efficient electrical installations. Non-metallic sheathed copper cable for 20-A circuits Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability.","12/2 NM-B Romex Cable, 250 ft
Non-metallic sheathed copper cable for 20-A circuits
12/2 NM-B Romex Cable, 250 ft supports safe and efficient electrical installations. Non-metallic sheathed copper cable for 20-A circuits Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability.",06ab8e57-aa07-4608-89c2-0172b756bc10
"4"" Square Steel Electrical Box, 1½"" Deep",Gangable box for commercial branch wiring,"4"" Square Steel Electrical Box, 1½"" Deep supports safe and efficient electrical installations. Gangable box for commercial branch wiring Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability.","4"" Square Steel Electrical Box, 1½"" Deep
Gangable box for commercial branch wiring
4"" Square Steel Electrical Box, 1½"" Deep supports safe and efficient electrical installations. Gangable box for commercial branch wiring Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability.",d732f8a4-1dfb-4885-8951-8804e19f0a7c
"GFCI Duplex Receptacle, 20 A, White","Self-test, tamper-resistant, weather-resistant","GFCI Duplex Receptacle, 20 A, White supports safe and efficient electrical installations. Self-test, tamper-resistant, weather-resistant Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability.","GFCI Duplex Receptacle, 20 A, White
Self-test, tamper-resistant, weather-resistant
GFCI Duplex Receptacle, 20 A, White supports safe and efficient electrical installations. Self-test, tamper-resistant, weather-resistant Widely used in residential and commercial wiring projects, it meets code requirements while ensuring reliability.",89f365ef-608a-4206-8043-781d1f72807e
"LED 2x4 Flat-Panel Troffer, 4000 K",40-W dimmable fixture for T-grid ceilings,"LED 2x4 Flat-Panel Troffer, 4000 K is a trusted product in the plumbing and HVAC trade. 40-W dimmable fixture for T-grid ceilings It offers proven reliability, making it a staple for contractors and facility managers.","LED 2x4 Flat-Panel Troffer, 4000 K
40-W dimmable fixture for T-grid ceilings
LED 2x4 Flat-Panel Troffer, 4000 K is a trusted product in the plumbing and HVAC trade. 40-W dimmable fixture for T-grid ceilings It offers proven reliability, making it a staple for contractors and facility managers.",c9a8c1e3-9a2c-4251-9b7c-3e3fddb8e88c
"6"" LED Recessed Downlight Retrofit",2700–5000 K selectable color temperature,"6"" LED Recessed Downlight Retrofit is a trusted product in the plumbing and HVAC trade. 2700–5000 K selectable color temperature It offers proven reliability, making it a staple for contractors and facility managers.","6"" LED Recessed Downlight Retrofit
2700–5000 K selectable color temperature
6"" LED Recessed Downlight Retrofit is a trusted product in the plumbing and HVAC trade. 2700–5000 K selectable color temperature It offers proven reliability, making it a staple for contractors and facility managers.",da8935cd-2479-4d72-82f2-14b5e3d123f6
Occupancy Sensor Wall Switch,"Passive infrared, 180° coverage, vacancy mode option","Occupancy Sensor Wall Switch is a trusted product in the plumbing and HVAC trade. Passive infrared, 180° coverage, vacancy mode option It offers proven reliability, making it a staple for contractors and facility managers.","Occupancy Sensor Wall Switch
Passive infrared, 180° coverage, vacancy mode option
Occupancy Sensor Wall Switch is a trusted product in the plumbing and HVAC trade. Passive infrared, 180° coverage, vacancy mode option It offers proven reliability, making it a staple for contractors and facility managers.",0ba9e79e-69a2-4fd1-91e5-4f05a8f16a1b
10-kW Electric Unit Heater,Ceiling-mount shop heater with built-in thermostat,"10-kW Electric Unit Heater is a trusted product in the plumbing and HVAC trade. Ceiling-mount shop heater with built-in thermostat It offers proven reliability, making it a staple for contractors and facility managers.","10-kW Electric Unit Heater
Ceiling-mount shop heater with built-in thermostat
10-kW Electric Unit Heater is a trusted product in the plumbing and HVAC trade. Ceiling-mount shop heater with built-in thermostat It offers proven reliability, making it a staple for contractors and facility managers.",b10430f6-802b-4d58-9e34-c3264c4301d7
"1"" HDPE Water Service Pipe, 500 ft Coil",Flexible CTS polyethylene for municipal service,"1"" HDPE Water Service Pipe, 500 ft Coil provides a reliable solution for plumbing and mechanical systems. Flexible CTS polyethylene for municipal service It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","1"" HDPE Water Service Pipe, 500 ft Coil
Flexible CTS polyethylene for municipal service
1"" HDPE Water Service Pipe, 500 ft Coil provides a reliable solution for plumbing and mechanical systems. Flexible CTS polyethylene for municipal service It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",4fd22423-80a5-4d1a-a9f7-cb908b7d7661
"8"" Ductile-Iron Gate Valve",Resilient-seated valve for waterworks distribution,"8"" Ductile-Iron Gate Valve is designed to regulate or stop the flow of liquids or gases. Resilient-seated valve for waterworks distribution Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.","8"" Ductile-Iron Gate Valve
Resilient-seated valve for waterworks distribution
8"" Ductile-Iron Gate Valve is designed to regulate or stop the flow of liquids or gases. Resilient-seated valve for waterworks distribution Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.",254d8d1d-8ece-4f34-a85b-34e660767171
"¾"" Residential Curb Stop",Bronze ball valve with compression CTS ends,"¾"" Residential Curb Stop is a trusted product in the plumbing and HVAC trade. Bronze ball valve with compression CTS ends It offers proven reliability, making it a staple for contractors and facility managers.","¾"" Residential Curb Stop
Bronze ball valve with compression CTS ends
¾"" Residential Curb Stop is a trusted product in the plumbing and HVAC trade. Bronze ball valve with compression CTS ends It offers proven reliability, making it a staple for contractors and facility managers.",7fddf2ab-1d18-4c1b-a20b-85e65b1f69ec
"¾"" Water Meter Coupling Set","Lead-free brass nuts, washers, and tailpieces","¾"" Water Meter Coupling Set is a trusted product in the plumbing and HVAC trade. Lead-free brass nuts, washers, and tailpieces It offers proven reliability, making it a staple for contractors and facility managers.","¾"" Water Meter Coupling Set
Lead-free brass nuts, washers, and tailpieces
¾"" Water Meter Coupling Set is a trusted product in the plumbing and HVAC trade. Lead-free brass nuts, washers, and tailpieces It offers proven reliability, making it a staple for contractors and facility managers.",bf969d37-83c1-42db-a8f5-5910697e1ebd
"4"" PVC SDR-35 Sewer Pipe",Gasketed bell-end pipe for gravity sewer mains,"4"" PVC SDR-35 Sewer Pipe provides a reliable solution for plumbing and mechanical systems. Gasketed bell-end pipe for gravity sewer mains It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","4"" PVC SDR-35 Sewer Pipe
Gasketed bell-end pipe for gravity sewer mains
4"" PVC SDR-35 Sewer Pipe provides a reliable solution for plumbing and mechanical systems. Gasketed bell-end pipe for gravity sewer mains It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",e236d2cc-b9db-4453-a80a-ab7b7c4c7f54
"6"" Cast-Iron Floor Drain with Trap Primer",Heavy-duty strainer for concrete slabs,"6"" Cast-Iron Floor Drain with Trap Primer is a trusted product in the plumbing and HVAC trade. Heavy-duty strainer for concrete slabs It offers proven reliability, making it a staple for contractors and facility managers.","6"" Cast-Iron Floor Drain with Trap Primer
Heavy-duty strainer for concrete slabs
6"" Cast-Iron Floor Drain with Trap Primer is a trusted product in the plumbing and HVAC trade. Heavy-duty strainer for concrete slabs It offers proven reliability, making it a staple for contractors and facility managers.",c9a3b4ac-1dd1-428c-a3ca-26787811ae26
"Expansion Tank, 4.4 gal",Diaphragm tank for closed-loop potable hot-water lines,"Expansion Tank, 4.4 gal is a trusted product in the plumbing and HVAC trade. Diaphragm tank for closed-loop potable hot-water lines It offers proven reliability, making it a staple for contractors and facility managers.","Expansion Tank, 4.4 gal
Diaphragm tank for closed-loop potable hot-water lines
Expansion Tank, 4.4 gal is a trusted product in the plumbing and HVAC trade. Diaphragm tank for closed-loop potable hot-water lines It offers proven reliability, making it a staple for contractors and facility managers.",4a57855f-3fd0-4fe0-a8dc-c8fbe0351065
"Hydronic Circulator Pump, 1/25 hp",3-speed wet-rotor pump with flange gaskets,"Hydronic Circulator Pump, 1/25 hp delivers reliable water or fluid movement. 3-speed wet-rotor pump with flange gaskets Its robust construction supports consistent operation in demanding environments like basements, hydronic systems, or sewage applications.","Hydronic Circulator Pump, 1/25 hp
3-speed wet-rotor pump with flange gaskets
Hydronic Circulator Pump, 1/25 hp delivers reliable water or fluid movement. 3-speed wet-rotor pump with flange gaskets Its robust construction supports consistent operation in demanding environments like basements, hydronic systems, or sewage applications.",a8de97d6-5b34-4cba-98d9-dd6216214f86
Glycol Test Kit,"Refractometer, hydrometer, and pH strips for HVAC loops","Glycol Test Kit is a trusted product in the plumbing and HVAC trade. Refractometer, hydrometer, and pH strips for HVAC loops It offers proven reliability, making it a staple for contractors and facility managers.","Glycol Test Kit
Refractometer, hydrometer, and pH strips for HVAC loops
Glycol Test Kit is a trusted product in the plumbing and HVAC trade. Refractometer, hydrometer, and pH strips for HVAC loops It offers proven reliability, making it a staple for contractors and facility managers.",a6721fc9-ec7f-4c1e-8c46-32786fa192e0
"¾"" Automatic Air Vent","Brass, float-operated vent for hydronic system high points","¾"" Automatic Air Vent is a trusted product in the plumbing and HVAC trade. Brass, float-operated vent for hydronic system high points It offers proven reliability, making it a staple for contractors and facility managers.","¾"" Automatic Air Vent
Brass, float-operated vent for hydronic system high points
¾"" Automatic Air Vent is a trusted product in the plumbing and HVAC trade. Brass, float-operated vent for hydronic system high points It offers proven reliability, making it a staple for contractors and facility managers.",1a4a6b1f-814d-41e3-bb19-e022d5ffb5b1
Slab Sensor Thermostat for Radiant Heat,"Floor probe, 7-day programmable touch screen","Slab Sensor Thermostat for Radiant Heat is a trusted product in the plumbing and HVAC trade. Floor probe, 7-day programmable touch screen It offers proven reliability, making it a staple for contractors and facility managers.","Slab Sensor Thermostat for Radiant Heat
Floor probe, 7-day programmable touch screen
Slab Sensor Thermostat for Radiant Heat is a trusted product in the plumbing and HVAC trade. Floor probe, 7-day programmable touch screen It offers proven reliability, making it a staple for contractors and facility managers.",c3b2db4a-38a4-4d97-b3b9-e2d053ee19d4
"1"" Oxygen-Barrier PEX-A O2",EVOH-coated pipe for radiant heating manifolds,"1"" Oxygen-Barrier PEX-A O2 is a trusted product in the plumbing and HVAC trade. EVOH-coated pipe for radiant heating manifolds It offers proven reliability, making it a staple for contractors and facility managers.","1"" Oxygen-Barrier PEX-A O2
EVOH-coated pipe for radiant heating manifolds
1"" Oxygen-Barrier PEX-A O2 is a trusted product in the plumbing and HVAC trade. EVOH-coated pipe for radiant heating manifolds It offers proven reliability, making it a staple for contractors and facility managers.",4a696127-185c-4c23-8165-990cf9853d0b
"6-Zone Radiant Manifold, Stainless","Flow meters, balancing valves, and purge ports","6-Zone Radiant Manifold, Stainless is a trusted product in the plumbing and HVAC trade. Flow meters, balancing valves, and purge ports It offers proven reliability, making it a staple for contractors and facility managers.","6-Zone Radiant Manifold, Stainless
Flow meters, balancing valves, and purge ports
6-Zone Radiant Manifold, Stainless is a trusted product in the plumbing and HVAC trade. Flow meters, balancing valves, and purge ports It offers proven reliability, making it a staple for contractors and facility managers.",901013e4-5264-4ba9-bc5e-437fc92bb064
3-psi Gas Leak Detector Spray,Foaming surfactant reveals micro-bubbles at joints,"3-psi Gas Leak Detector Spray is a trusted product in the plumbing and HVAC trade. Foaming surfactant reveals micro-bubbles at joints It offers proven reliability, making it a staple for contractors and facility managers.","3-psi Gas Leak Detector Spray
Foaming surfactant reveals micro-bubbles at joints
3-psi Gas Leak Detector Spray is a trusted product in the plumbing and HVAC trade. Foaming surfactant reveals micro-bubbles at joints It offers proven reliability, making it a staple for contractors and facility managers.",fc77638a-6d4b-43bd-bdd5-46613b302581
